id,value1,value2,category
0,-2.032138411749586,97,A
1,-0.5788619159799737,30,B
2,-0.121779221444046,69,C
3,-0.2520282520720927,63,B
4,0.0976258695845065,27,B
5,0.0569760364642712,26,C
6,-1.4331500867317284,52,C
7,-0.4296541377004129,7,A
8,-0.4761142574715912,68,B
9,0.9238711172242996,2,A
10,-0.993911422273841,57,B
11,0.537070743195989,99,C
12,0.6298510997881546,64,C
13,-0.7804504700978875,69,B
14,0.2924607881594676,78,B
15,-0.4248258766912139,71,B
16,-0.1897995003132934,53,B
17,0.0814420727046295,91,C
18,1.5940187993206851,89,C
19,-0.7820897188424822,24,B
20,1.2668212689877365,89,A
21,0.7257403701869456,37,B
22,-0.3982877023761325,8,A
23,1.645387459817985,54,A
24,-0.8795733350984716,20,C
25,0.920911225148054,46,C
26,-0.0068399935374558,25,C
27,0.0895097263064951,23,B
28,1.0592992688130016,19,A
29,0.7452848312800526,2,A
30,0.7008005244956336,42,B
31,-0.4623968649930418,31,A
32,-0.6259888182037834,25,A
33,1.19092638927015,4,C
34,-1.2228436549641055,46,A
35,-1.0152228093882585,13,A
36,-1.011475541308566,42,A
37,-0.736568143471379,37,A
38,-0.5234266669324603,93,B
39,0.1394225053553994,71,B
40,0.1637532106683169,66,C
41,-0.4006648812823929,19,B
42,0.4336785280739763,17,C
43,1.0756662826326615,47,A
44,-0.3616932556824987,79,A
45,-0.5885965876412513,9,B
46,0.9564797956345396,32,B
47,-1.344008661612803,72,C
48,-0.5923740630717869,29,C
49,-0.2866293298263375,98,B
50,0.772049167279467,13,B
51,-0.180181649637689,8,A
52,0.1305064603160907,7,C
53,-1.2739309875909617,60,B
54,0.3922046200925516,6,A
55,0.0249874529587731,74,A
56,-0.964042113412563,13,C
57,0.8285248124983243,86,B
58,-1.7133817255364836,50,A
59,0.731668878789761,46,C
60,-0.1402206375977359,60,A
61,1.9333421418760888,9,B
62,0.079498152881166,11,B
63,-0.1727742872127678,79,B
64,1.4398219576263265,49,A
65,0.4150676572370358,18,B
66,-0.965279974725704,36,A
67,-1.85703484362055,46,A
68,-0.9882942160174324,92,A
69,0.3785511713723551,26,C
70,0.9408659325907016,16,C
71,0.4663464505276374,89,B
72,1.8597475289399064,59,B
73,0.9182268575971196,95,A
74,-0.0051392103000929,60,C
75,-0.0540777204938353,28,B
76,0.6179668142012542,28,B
77,-0.1166639557198679,33,B
78,-0.5593031170425965,96,C
79,-1.171498568861429,76,B
80,0.4068664551535212,64,B
81,-0.6207658450055606,69,B
82,0.4356039066570037,97,A
83,-1.906567273799055,66,B
84,0.0833425521066978,44,C
85,1.0411803995501356,21,A
86,0.2136121580880008,63,C
87,1.3403375930902142,86,C
88,0.5063983578299842,18,C
89,0.066320046294029,70,B
90,-0.8293170445766865,65,A
91,-0.1093581164795438,91,B
92,0.5227394126635622,68,C
93,-0.0231592356306422,46,B
94,-1.325398074475291,11,A
95,0.6687188570863402,66,B
96,-0.8664226487760512,42,B
97,-0.2252054610783909,57,A
98,1.6480136197894684,32,B
99,0.1230111572308488,47,A
100,-1.7036522236992535,19,A
101,1.9781005677518,6,B
102,-2.190853982959908,31,C
103,-1.4879063335669642,11,A
104,1.512881743618793,33,C
105,-1.1382450807712703,98,C
106,-1.381051617043177,38,A
107,0.1845090563299604,1,C
108,1.696163326520613,57,A
109,-0.419083733500125,22,C
110,1.3820462405329963,70,A
111,0.4972222545110445,42,C
112,-1.5321640919295827,6,C
113,-0.682365912280498,11,B
114,-0.259382235804395,18,C
115,-0.8432657306169619,67,C
116,1.1243131973525855,65,C
117,0.3832098496130445,2,B
118,-0.7668434303733853,11,C
119,-2.2771641651554613,95,A
120,-0.1498117281683126,89,A
121,-0.5479148941510786,7,C
122,0.5622175642381211,78,A
123,0.7471294305285682,38,B
124,0.3547628133840291,47,B
125,0.5132288126306498,85,C
126,0.5215761934723167,5,B
127,1.4449439149188643,19,B
128,-0.3114630862104782,69,C
129,0.8258809812355604,86,C
130,-0.9346109048205092,77,A
131,-1.198752770429487,82,C
132,1.834102043367427,46,B
133,1.1811129709254955,93,B
134,1.6074740706476365,99,A
135,-0.0746590522634644,53,C
136,1.8009759249691764,97,B
137,0.2034805215495082,22,B
138,0.9145058727837672,56,B
139,-0.6554256575104892,3,C
140,-0.2527325555143551,42,A
141,0.0787215986678512,69,B
142,-0.5182916286565241,97,A
143,-0.2819911118605,98,B
144,0.9426505057853816,66,C
145,0.742907418635935,21,B
146,-0.1302451888524324,10,A
147,0.3588108355657902,5,C
148,1.2202356371514318,12,C
149,-0.9926285955903846,45,C
150,-1.360972267032584,80,A
151,1.9435326016394707,9,B
152,1.6265585859845924,54,B
153,-0.0663484622506311,56,A
154,0.3162237092033368,95,C
155,-1.906806439079885,64,C
156,-0.0596672023238149,23,B
157,-1.0669247996420652,34,B
158,0.5900467691694149,22,B
159,-2.032703954160615,21,C
160,-1.3649555531340285,22,A
161,-0.7239251550486876,29,A
162,0.5269916054964634,12,C
163,-0.4700981828390084,18,B
164,-0.5368293316123658,50,C
165,1.2415971702232962,42,B
166,0.4142262008547266,96,A
167,-0.2692479543787196,75,B
168,1.2983765795309374,68,C
169,-1.0466593798164692,48,A
170,-0.3152594080294235,42,C
171,-0.331429791854445,19,C
172,0.7662002839369307,42,A
173,0.751639474353239,65,B
174,0.2265224917492985,57,A
175,1.7544757612204025,20,A
176,-0.4640007772466694,70,A
177,0.5006743025416193,76,A
178,1.19320840672171,88,B
179,1.2653121973085786,80,A
180,0.5051866446327301,2,A
181,0.3100097105770913,41,C
182,-0.7232186837818034,12,C
183,0.1052960460493669,52,B
184,0.2033233230330392,12,A
185,-1.0371856151301255,29,B
186,1.265530238943004,19,A
187,-0.0461864670604542,56,B
188,-0.1487109680610866,45,C
189,0.8347364210828828,21,B
190,0.45624534071148,32,C
191,-0.2124066952450699,20,B
192,-1.2063175450860015,35,B
193,0.5066512373862796,18,C
194,1.4727387216321737,36,A
195,0.7315539528130203,70,A
