id,value1,value2,category
0,-0.5016477471915268,10,B
1,-1.574621432246373,30,A
2,-1.7425195516538146,79,C
3,0.2910685806878926,42,C
4,1.5353999217001304,58,C
5,-0.059041328917064116,3,A
6,0.519978812711417,10,C
7,0.5573422439230714,23,C
8,-0.6030769527095682,28,B
9,-2.0148775847820013,63,A
10,0.6548809406925958,96,B
11,1.6177908296953267,14,B
12,1.6522908892693344,12,C
13,-0.2009217063128988,24,B
14,-0.30304176761274254,30,B
15,-0.5720589105724178,81,C
16,0.6098907648184817,75,A
17,-1.0093502817838957,96,B
18,-1.05821543892126,8,C
19,1.3035187664612768,79,C
20,0.2936079285557259,82,C
21,-2.1610494116431136,87,A
22,0.7102783992053222,47,C
23,0.02671613436003054,1,B
24,0.16108715817367908,4,C
25,0.9362929735406682,54,B
26,-1.2102874165830773,64,C
27,0.3556963590466693,63,A
28,1.1019909132325574,31,B
29,-0.32140500195573796,72,A
30,-2.138167907223231,42,B
31,-0.8338967648337888,95,C
32,-0.6323851511722208,27,A
33,0.05603524049469029,67,A
34,-0.32474020328375114,77,C
35,-0.3886230645243501,54,A
36,-0.5980851075250074,56,C
37,0.26964016980666367,1,B
38,-0.40631534116691476,29,B
39,-1.4004494569684596,33,C
40,-1.24828232457154,18,B
41,-1.0832834206899518,12,A
42,-2.0006290575019796,26,B
43,-0.2583878926011315,35,C
44,-0.3708599584895072,70,B
45,0.08600290189921528,20,A
46,0.36242996861838045,91,C
47,0.36146777875790004,17,B
48,-0.5911038867983662,55,A
49,-1.7258956325225632,88,A
50,-0.41303369516599325,80,B
51,0.31178398084322106,79,C
52,-0.34500803828365706,87,B
53,0.2890632436962682,11,B
54,-0.23860696649736576,19,B
55,0.4577578602307262,77,C
56,0.2095877670877071,41,C
57,-0.1958188634659186,55,B
58,1.317759844431224,89,B
59,0.20663592479962925,98,B
60,0.35796153869045266,11,A
61,0.1651724583733007,27,B
62,0.21464638054023236,58,A
63,-0.03732826192122974,94,C
64,1.0412196820226165,50,B
65,0.7640813500673388,24,B
66,1.5284311661700969,33,B
67,-0.6438645105062237,17,B
68,-1.2278028841028368,62,B
69,-1.550108171716047,9,A
70,-0.8217480455169399,35,A
71,-1.2693659608725456,7,A
72,0.6468929609948112,67,B
73,-0.9451138391820337,30,B
74,1.5710073309133428,30,A
75,1.3485085011688542,5,A
76,1.461061259254667,9,B
77,-0.2062269608664279,82,A
78,0.5295009990559746,61,B
79,-0.45925728955591427,55,C
80,-0.8934380946068646,15,C
81,-0.6605618658956894,56,B
82,0.057450951247849096,75,A
83,-1.1774170126363925,79,B
84,0.4976762153274025,64,B
85,-0.7281524733136289,51,C
86,-0.1620743927313781,21,A
87,-0.14357542970831885,22,C
88,-1.1746304876611091,52,A
89,0.049686336976664566,30,B
90,-0.7441955090267751,6,B
91,-1.7243264294740732,22,B
92,0.20310571854821827,66,C
93,-0.685848644847771,34,C
94,0.13386244513020093,67,A
95,1.5838828822207711,83,A
96,-0.5460847386874632,61,A
97,-0.6416777479738788,55,C
98,0.21963505013486734,56,A
99,0.34859373358964124,53,A
100,-0.3410497400362115,71,B
101,-0.9542785987993523,29,C
102,2.028270250742536,21,A
103,-1.2956101818267467,85,C
104,0.4446256293245814,37,A
105,-2.624338598037549,18,C
106,1.4118346796866172,53,C
107,-0.7018252788560501,75,B
108,0.7266143354726379,19,A
109,0.564613079859344,64,C
110,-0.504330902304429,65,C
111,2.6927053152271867,93,B
112,-0.31444906697696584,33,B
113,-0.10103930843395292,47,C
114,0.7581398766396129,88,A
115,1.070464893569065,25,B
116,-0.3755452304723771,32,B
117,-0.013782673941378363,48,C
118,0.5730098149925712,74,B
119,0.3250924045909141,98,C
120,1.5981117808304797,42,C
121,1.9226288421076005,89,B
122,-0.15077197591327454,45,C
123,-0.24779042441609683,4,B
124,0.20852507762827963,2,B
125,1.461891448307317,57,C
126,0.9317473225268595,93,B
127,0.34280118323971814,89,A
128,-0.5880420892481282,61,C
129,-0.3886683021163188,62,C
130,1.581783220544309,63,B
131,-0.3002769082346413,97,B
132,0.6779322299533659,64,C
133,0.8334784005898866,15,C
134,0.0734007940333866,71,C
135,-1.107339108170532,41,B
136,-0.7413175539364535,96,A
137,0.15541373197571043,42,C
138,-0.10506686287979831,83,C
139,-0.6830161329771995,23,A
140,0.7447702737088029,31,B
141,-0.9989847276873277,74,A
142,-0.6280380290193464,59,A
143,-0.8724386778374194,41,B
144,-0.21526106532454228,97,B
145,-2.1872519386562392,52,A
146,0.41371286017724607,67,A
147,-0.2028940399586244,36,C
148,-0.00980590482994816,61,C
149,-0.593223073112276,50,C
150,-1.0846234286742622,44,C
151,0.756100160360434,46,B
152,1.1603938952892683,91,A
153,-0.7405791019429875,69,C
154,-0.4477535629315772,57,A
155,-0.031404904394204514,94,A
156,-1.7913519148466501,82,C
157,0.09352050563628807,17,A
158,2.192876511844035,22,A
159,-0.3977488649606565,85,A
160,-0.7192539772902631,9,A
161,-0.4942355712960411,71,B
162,0.17398700343432574,66,B
163,0.5382501212037413,90,A
164,0.35184259069636237,28,A
165,0.1648192660196125,68,C
166,-1.7356172431706773,81,A
167,-0.9540256157125411,63,B
168,0.1624782998147168,87,A
169,0.9554526004017481,22,C
170,0.265586283613037,63,C
171,0.0798120587745109,99,A
172,-0.5177218637602057,77,C
173,-0.6339232594384115,84,A
174,-0.5993092644390293,95,A
175,-0.21350725908711174,99,A
176,0.38435500394022143,40,B
177,1.5737774278489367,52,B
178,0.8339919611396409,82,A
179,-0.7080537200684416,92,A
180,-0.509432525822005,16,C
181,-0.6699402646872861,66,B
182,1.2809362818233276,20,C
183,-0.22315601821413403,99,C
184,0.30837328191380864,13,A
185,0.5496389716858571,77,C
186,0.7376410276862931,47,A
187,-0.9062750406743673,66,A
188,0.747311670709248,91,A
189,1.9830376648155943,45,C
190,-0.4323330544727809,64,B
191,1.6063156642228276,71,A
192,0.5415817892331451,74,A
193,0.3911457647693152,36,A
194,-0.4133258728276678,30,A
195,0.13389518588084634,96,B
196,0.13293339634715895,90,B
197,-0.46203820180455596,89,B
198,-1.3117826225966889,28,B
199,1.5968222221181834,32,B
200,1.0343473213510206,79,B
201,1.208551994989291,34,A
202,0.5441060092335979,61,A
203,0.12639447683257743,25,A
204,-0.25834165791529623,42,C
205,-0.16368620825373273,43,C
206,0.7056025523921139,74,B
207,-1.1996238614776127,45,B
208,-0.4620540888817333,19,C
209,0.9956828130134365,71,A
210,-0.2394529878161819,36,C
211,-0.5345534618505299,33,B
212,0.6655988190568193,78,B
213,0.07215471301261377,48,A
214,0.20687274145819268,67,C
215,-1.0749256522142248,8,B
216,0.9291607250703583,65,B
217,-1.420464559728872,96,A
218,0.7829252890668003,75,B
219,-0.5865482802480337,40,C
220,0.6882208229443028,11,B
221,-1.8852661460381523,79,A
222,0.7590816342592024,49,C
223,-1.2010998787641731,34,B
224,0.5805346528774901,32,C
225,0.11361843043082974,16,B
226,-0.9345859209569003,70,A
227,-2.0450533084801434,27,B
228,-0.9695123457058578,93,C
229,-0.010356983483041097,98,A
230,-0.5585811076553725,45,A
231,-0.04407879071087767,3,C
232,1.6118715840892064,87,C
233,1.0869270088864147,27,A
234,-0.7006114756322843,39,B
235,-0.725340035990755,54,B
236,-1.0755270820923781,72,A
237,-0.6326685467483534,91,B
238,-1.7018312554132862,61,C
239,-0.5940497280153346,57,C
240,-2.131905584373336,38,C
241,-0.39064454927391323,84,B
242,-0.21643359594435338,31,B
243,-0.14244607749925486,63,C
244,0.8183397986034174,24,A
245,0.8729372855434219,83,B
246,1.6326198880596943,79,C
247,0.37446860250654157,76,A
248,-0.44842237066116175,85,C
249,-0.7898727059571115,15,B
250,1.4443778853118576,94,C
251,1.1522263188305344,80,C
252,-1.2952841323183453,50,C
253,0.9496452700633194,28,C
254,0.32852223929863805,95,C
255,-1.873276267318653,76,B
256,0.16169877006890565,12,B
257,0.8116250571585856,74,A
258,1.269725186897127,44,C
259,0.8248455055955249,54,B
260,1.2122492957368793,3,A
261,-2.019158324345404,13,A
262,0.7584810118948194,86,A
263,0.6616146457290989,76,A
264,0.20267182998001346,90,C
265,-0.41868290779698375,40,A
266,-0.20469314117024667,79,C
267,1.0997821502013307,49,A
268,-0.41031831834487154,17,C
269,-0.4941657377644949,5,B
270,-1.0963256519667288,62,B
271,0.526236145686158,20,A
272,1.0253422705673318,48,B
273,1.5719901957685058,94,C
274,-0.347995659785841,72,A
275,1.3365412967033024,79,A
276,-1.7939234501701145,55,A
277,-1.5567812013203002,10,A
278,-0.19074384834269117,80,A
279,0.8988986687950925,40,C
280,1.140675957649297,93,C
281,0.039895325195677955,48,C
282,1.334120966028886,65,A
283,0.47838296403449126,96,B
284,0.3630076253445404,31,A
285,1.433806903556336,11,A
286,0.033795799666109926,7,B
287,0.011457455330336895,93,A
288,0.1669860180365162,45,A
289,-1.6968414975910464,63,C
290,-0.5039483977333926,46,C
291,-1.0466520158358112,82,A
292,-0.015489984999274871,6,C
293,-1.9362036672598422,7,B
294,-0.6716791144444642,87,C
295,0.6085887008949263,52,B
296,-1.7503026312707182,37,B
297,2.244870475356865,73,B
298,1.2269223572968482,68,C
299,-0.60403111762055,61,A
300,-0.5346664923751682,33,A
301,0.2393190277347079,48,A
302,-0.5250483495202622,31,A
303,0.17229385912361242,90,C
304,-0.9710317506898858,96,A
305,0.36840953566171,17,C
306,-1.591523397318793,9,B
307,0.4122181304816767,52,C
308,-0.7308590917707296,61,B
309,-0.19615983343763385,99,C
310,-0.6810383251533689,45,A
311,-0.41581288998372756,68,C
312,-0.4179534433815121,99,C
313,1.2733767155686369,13,A
314,2.0884661543416483,32,C
315,-0.9723155613958944,80,B
316,1.2656019654618822,72,B
317,0.7566962768040194,93,B
318,0.6697909121206775,49,C
319,-1.3121587104679318,12,C
320,1.2253135049458102,67,C
321,-0.40565299847741393,25,A
322,-0.699070277230296,48,B
323,0.6618227928149192,30,A
324,0.788445679264046,75,B
325,1.0768402341584664,44,B
326,-1.3155574970630608,18,C
327,-0.3228551603850679,16,B
328,1.0133322876898172,80,C
329,1.7370712876229961,46,A
330,-0.8649532855772841,14,C
331,1.1133045854293193,82,C
332,0.9932757952303217,13,B
333,-2.767335502908685,56,A
334,0.41426941217904817,3,A
335,0.9492429089069032,66,B
336,-0.6301069315287547,27,B
337,-0.08430288029116789,48,C
338,-0.4752577179906684,86,C
339,0.8813209663873298,76,B
340,0.49304384142633895,87,B
341,-1.4777772058656762,42,B
342,2.059174263970628,71,C
343,1.0572355446762556,76,C
344,-0.7690923527429562,24,A
345,-1.1093437002226665,46,B
346,-1.3383708086346648,40,C
347,0.39048069987117484,33,B
348,0.8822286296724502,58,B
349,0.5393336806789518,44,A
350,-0.8277204033096346,83,C
351,-0.5337749885412043,11,C
352,1.36177708320164,88,B
353,0.7403858210434413,4,A
354,0.5666285104630422,2,A
355,0.309924090019768,72,A
356,0.12868074938745838,30,C
357,0.2791343323479293,77,A
358,-0.4131265148477014,79,A
359,1.3484345577701229,88,C
360,-0.6413645486065872,84,B
